name,sourceid
D S Kulkarni Developers Limited,55242
DB (International) Stock Brokers Limited,55245
DIC India Limited,55247
DMC International Limited,55250
DQ Entertainment (International) Limited,55252
Dabur India Limited,55254
Dagger-Forst Tools Limited,55257
Dai-Ichi Karkaria Limited,55260
Daikaffil Chemicals India Limited,55263
Dairyfield Limited,55265
Dalal Street Investments Limited,55267
Dalmia Cement (Bharat) Limited,55269
Damodar Threads Limited,55272
Danlaw Technologies India Limited,55274
Datamatics Global Services Limited,55276
Datanet Systems Limited,55279
Dazzel Confindive Limited,55281
De Nora India Limited,55283
Deccan Bearings Limited,55286
Deccan Cements Limited,55288
Deccan Chronicle Holdings Limited,55291
Deccan Gold Mines Limited,55294
Deccan Polypacks Limited,55296
Decolight Ceramics Limited,55298
Deep Industries Limited,55301
Deepak Fertilisers & Petrochemicals Corporation Limited,55304
Deepak Nitrite Limited,55307
Deepak Spinners Limited,55310
Delta Corp Limited,55313
Delta Magnets Limited,55316
Delton Cables Limited,55319
Deltron Limited,55321
Den Networks Limited,55323
Dena Bank,55326
Denso India Limited,55329
Development Credit Bank Limited,55332
Devika Proteins Limited,55335
Devine Impex Limited,55337
Devinsu Trading Limited,55339
Devki Leasing & Finance Limited,55341
Dewan Housing Finance Corporation Limited,55343
Dhampur Sugar Mills Limited,55346
Dhampure Specialty Sugars Limited,55349
Dhanalakshmi Bank Limited,55351
Dhanalaxmi Roto Spinners Limited,55354
Dhandapani Finance Limited,55356
Dhanlaxmi Cotex Limited,55358
Dhanlaxmi Fabrics Limited,55360
Dhanuka Agritech Limited,55362
Dhanus Technologies Limited,55364
Dhanvantri Jeevan Rekha Limited,55367
Dharamsi Morarji Chemical Company Limited,55369
Dharani Finance Limited,55372
Dharani Sugars & Chemicals Limited,55374
Dharanidhar Global and Infrastructure Limited,55377
Dhoot Industrial Finance Limited,55379
Dhruv Estates Limited,55381
Dhruva Capital Services Limited,55383
Dhunseri Tea & Industries Limited,55385
Diamant Investment and Finance Limited,55388
Diamines & Chemicals Limited,55390
Diamond Power Infrastructure Limited,55392
Diana Tea Company Limited,55394
Digjam Limited,55396
Dil Vikas Finance Limited,55399
Disa India Limited,55401
Dish TV India Limited,55404
Dishman Pharmaceuticals & Chemicals Limited,55407
Divis Laboratories Limited,55410
Divya Jyoti Industries Limited,55413
Divyashakti Granites Limited,55415
Dolat Investments Limited,55417
Dollex Industries Limited,55419
Dolphin Medical Services Limited,55421
Dolphin Offshore Enterprises (India) Limited,55423
Donear Industries Limited,55426
Doon Valley Rice Limited,55429
Dr Agarwal`s Eye Hospital Limited,55432
Dr Reddy`S Laboratories Limited,55434
Dredging Corporation Of India Limited,55437
Dujodwala Paper Chemicals Limited,55440
Dujodwala Products Limited,55442
Duke Offshore Limited,55444
Duncans Industries Limited,55446
Dunlop India Limited,55449
Dutron Polymers Limited,55452
Dwarikesh Sugar Industries Limited,55454
Dynacons Systems & Solutions Limited,55457
Dynamatic Technologies Limited,55460
Dynamic Industries Limited,55463
Dynamic Infotel Limited,55465
Dynavision Limited,55468
Dynemic Products limited,55470
E C E Industries Limited,55472
E I D-Parry (India) Limited,55475
E I H Associated Hotels Limited,55478
E I H Limited,55481
E L F Trading & Chemicals Manufacturing Limited,55484
E L Forge Limited,55486
EPC Industrie Limited,55489
